"Id","ObjectId","Territory2Id","AssociationCause","KeyPrefix","IsDeleted","LastModifiedDate","LastModifiedById","SystemModstamp"
"0JB8a00000HDl0eGAD","0018a0000288lWXAAY","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-03-22 16:26:58","0058a00000MNWtKAAX","2023-03-22 16:26:58"
"0JB8a00000HDl0yGAD","0018a0000288lYOAAY","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-03-22 16:31:21","0058a00000MNWtKAAX","2023-03-22 16:31:21"
"0JB8a00000HDl1DGAT","0018a0000288laKAAQ","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-03-22 16:35:29","0058a00000MNWtKAAX","2023-03-22 16:35:29"
"0JB8a00000HDl5UGAT","0018a0000288mZEAAY","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-03-22 19:05:59","0058a00000MNWuDAAX","2023-03-22 19:05:59"
"0JB8a00000HDlBXGA1","0018a0000288nvRAAQ","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-03-22 23:29:09","0058a00000MNWtKAAX","2023-03-22 23:29:09"
"0JB8a00000HDlYVGA1","0018a0000288tv1AAA","0MI8a0000004gDeGAI","Territory2AssignmentRule","001","0","2023-03-23 20:25:31","0058a00000MNWtZAAX","2023-03-23 20:25:31"
"0JB8a00000HDlYWGA1","0018a0000288tv2AAA","0MI8a0000004gDeGAI","Territory2AssignmentRule","001","0","2023-03-23 20:39:01","0058a00000MNWtZAAX","2023-03-23 20:39:01"
"0JB8a00000HDloNGAT","0018a00002890IXAAY","0MI8a0000004gDPGAY","Territory2AssignmentRule","001","0","2023-03-24 17:19:21","0058a00000MNWteAAH","2023-03-24 17:19:21"
"0JB8a00000HDloSGAT","0018a00002890JGAAY","0MI8a0000004gDPGAY","Territory2AssignmentRule","001","0","2023-03-24 17:21:31","0058a00000MNWteAAH","2023-03-24 17:21:31"
"0JB8a00000HDlomGAD","0018a00002890KJAAY","0MI8a0000004gDPGAY","Territory2AssignmentRule","001","0","2023-03-24 17:25:24","0058a00000MNWteAAH","2023-03-24 17:25:24"
"0JB8a00000HDlp6GAD","0018a00002890MAAAY","0MI8a0000004gDPGAY","Territory2AssignmentRule","001","0","2023-03-24 17:29:16","0058a00000MNWteAAH","2023-03-24 17:29:16"
