"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","UserId","AppDefinitionId","TabDefinitionId","Target","TargetEntityTypeId","TargetContext","IsNameOverridden","SortOrder"
"0Qk8a000000pp7iCAA","0","","2023-05-25 11:19:23","0058a00000MNWt0AAH","2023-05-25 11:19:23","0058a00000MNWt0AAH","2023-05-25 11:19:23","0058a00000MNWt0AAH","06m8a000000tafmAAA","Lead","","TabDefinition","Tab","0","4"
"0Qk8a000000pp7jCAA","0","","2023-05-25 11:19:23","0058a00000MNWt0AAH","2023-05-25 11:19:23","0058a00000MNWt0AAH","2023-05-25 11:19:23","0058a00000MNWt0AAH","06m8a000000tafmAAA","Account","","TabDefinition","Tab","0","5"
"0Qk8a000000pp7kCAA","0","","2023-05-25 11:19:23","0058a00000MNWt0AAH","2023-05-25 11:19:23","0058a00000MNWt0AAH","2023-05-25 11:19:23","0058a00000MNWt0AAH","06m8a000000tafmAAA","Contact","","TabDefinition","Tab","0","6"
"0Qk8a000000pp7lCAA","0","","2023-05-25 11:19:23","0058a00000MNWt0AAH","2023-05-25 11:19:23","0058a00000MNWt0AAH","2023-05-25 11:19:23","0058a00000MNWt0AAH","06m8a000000tafmAAA","Opportunity","","TabDefinition","Tab","0","7"
"0Qk8a000000pp7mCAA","0","","2023-05-25 11:19:23","0058a00000MNWt0AAH","2023-05-25 11:19:23","0058a00000MNWt0AAH","2023-05-25 11:19:23","0058a00000MNWt0AAH","06m8a000000tafmAAA","Dashboard","","TabDefinition","Tab","0","8"
"0Qk8a000000pp7nCAA","0","","2023-05-25 11:19:23","0058a00000MNWt0AAH","2023-05-25 11:19:23","0058a00000MNWt0AAH","2023-05-25 11:19:23","0058a00000MNWt0AAH","06m8a000000tafmAAA","0KD8a000000J6n4GAC","","TabDefinition","Tab","0","9"
"0Qk8a0000019yhvCAA","0","","2023-02-10 00:18:13","0058a00000MNWtKAAX","2023-02-10 00:18:13","0058a00000MNWtKAAX","2023-02-10 00:18:13","0058a00000MNWtKAAX","06m8a000000tafmAAA","home","","TabDefinition","Tab","0","1"
"0Qk8a0000019yhwCAA","0","","2023-02-10 00:18:13","0058a00000MNWtKAAX","2023-02-10 00:18:13","0058a00000MNWtKAAX","2023-02-10 00:18:13","0058a00000MNWtKAAX","06m8a000000tafmAAA","Lead","","TabDefinition","Tab","0","2"
"0Qk8a0000019yhxCAA","0","","2023-02-10 00:18:13","0058a00000MNWtKAAX","2023-02-10 00:18:13","0058a00000MNWtKAAX","2023-02-10 00:18:13","0058a00000MNWtKAAX","06m8a000000tafmAAA","Account","","TabDefinition","Tab","0","3"
"0Qk8a0000019yhyCAA","0","","2023-02-10 00:18:13","0058a00000MNWtKAAX","2023-02-10 00:18:13","0058a00000MNWtKAAX","2023-02-10 00:18:13","0058a00000MNWtKAAX","06m8a000000tafmAAA","Contact","","TabDefinition","Tab","0","4"
"0Qk8a0000019yhzCAA","0","","2023-02-10 00:18:13","0058a00000MNWtKAAX","2023-02-10 00:18:13","0058a00000MNWtKAAX","2023-02-10 00:18:13","0058a00000MNWtKAAX","06m8a000000tafmAAA","Opportunity","","TabDefinition","Tab","0","5"
"0Qk8a0000019yi0CAA","0","","2023-02-10 00:18:13","0058a00000MNWtKAAX","2023-02-10 00:18:13","0058a00000MNWtKAAX","2023-02-10 00:18:13","0058a00000MNWtKAAX","06m8a000000tafmAAA","Dashboard","","TabDefinition","Tab","0","6"
"0Qk8a0000019yi1CAA","0","","2023-02-10 00:18:13","0058a00000MNWtKAAX","2023-02-10 00:18:13","0058a00000MNWtKAAX","2023-02-10 00:18:13","0058a00000MNWtKAAX","06m8a000000tafmAAA","0KD8a000000J6n4GAC","","TabDefinition","Tab","0","7"
