"Id","RelationId","EventId","ChildEventId","IsWhat","IsParent","IsInvitee","AccountId","Status","RespondedDate","Response","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","IsDeleted"
"0RT8a00003aSQPEGA4","0038a00003DNpgTAAT","00T8a00008CCB7DEAX","","0","1","0","0018a0000252HC7AAM","","","","2023-04-26 16:58:10","0058a00000MNWtKAAX","2023-04-26 16:58:10","0058a00000MNWtKAAX","2023-04-26 16:58:10","0"
"0RT8a00003aSQPFGA4","0038a00003A1ZYlAAN","00T8a00008CCB7EEAX","","0","1","0","0018a0000252HC7AAM","","","","2023-04-26 16:58:10","0058a00000MNWtKAAX","2023-04-26 16:58:10","0058a00000MNWtKAAX","2023-04-26 16:58:10","0"
"0RT8a00003aSQPGGA4","0XB8a000000oh6jGAA","00T8a00008CC9RQEA1","","1","1","0","","","","","2023-04-26 16:58:10","0058a00000MNWtKAAX","2023-04-26 16:58:10","0058a00000MNWtKAAX","2023-04-26 16:58:10","0"
"0RT8a00003aSQPHGA4","0XB8a000000oh6jGAA","00T8a00008CCB7CEAX","","1","1","0","","","","","2023-04-26 16:58:10","0058a00000MNWtKAAX","2023-04-26 16:58:10","0058a00000MNWtKAAX","2023-04-26 16:58:10","0"
"0RT8a00003aSQPIGA4","0XB8a000000oh6jGAA","00T8a00008CCB7DEAX","","1","1","0","","","","","2023-04-26 16:58:10","0058a00000MNWtKAAX","2023-04-26 16:58:10","0058a00000MNWtKAAX","2023-04-26 16:58:10","0"
"0RT8a00003aSQPJGA4","0XB8a000000oh6jGAA","00T8a00008CCB7EEAX","","1","1","0","","","","","2023-04-26 16:58:10","0058a00000MNWtKAAX","2023-04-26 16:58:10","0058a00000MNWtKAAX","2023-04-26 16:58:10","0"
"0RT8a00003aTQgVGAW","0058a00000MNWtKAAX","00T8a00008CCrLqEAL","","0","0","0","","","","","2023-04-27 16:30:56","0058a00000MNWtKAAX","2023-04-27 16:30:56","0058a00000MNWtKAAX","2023-04-27 16:30:56","0"
"0RT8a00003aTQgWGAW","0068a00001NV1p6AAD","00T8a00008CCrLqEAL","","1","1","0","0018a0000252H3FAAU","","","","2023-04-27 16:30:56","0058a00000MNWtKAAX","2023-04-27 16:30:56","0058a00000MNWtKAAX","2023-04-27 16:30:56","0"
"0RT8a00003g9cxVGAQ","0058a00000MNWtKAAX","00T8a00008FaiKaEAJ","","0","0","0","","","","","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0"
"0RT8a00003g9cxWGAQ","0058a00000MNWtKAAX","00T8a00008FaiKbEAJ","","0","0","0","","","","","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0"
"0RT8a00003g9cxXGAQ","0058a00000MNWtKAAX","00T8a00008FaiKcEAJ","","0","0","0","","","","","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0"
"0RT8a00003g9cxYGAQ","0058a00000MNWtKAAX","00T8a00008FaiKdEAJ","","0","0","0","","","","","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0"
"0RT8a00003g9cxZGAQ","0058a00000MNWtKAAX","00T8a00008FaiKeEAJ","","0","0","0","","","","","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0"
"0RT8a00003g9cxaGAA","0058a00000MNWtKAAX","00T8a00008FaiKfEAJ","","0","0","0","","","","","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0"
"0RT8a00003g9cxbGAA","0058a00000MNWtKAAX","00T8a00008FaiKgEAJ","","0","0","0","","","","","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0"
"0RT8a00003g9cxcGAA","0058a00000MNWtKAAX","00T8a00008FaiKhEAJ","","0","0","0","","","","","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0"
"0RT8a00003g9cxdGAA","0058a00000MNWtKAAX","00T8a00008FaiKiEAJ","","0","0","0","","","","","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0"
